citric acid,residual sugar,pH,sulphates,alcohol,quality
0.05,1.4,3.56,0.82,12.9,8
0.68,2.9,3.06,0.8,10,6
0.52,2,3.18,0.51,9.5,5
0.61,2,3.16,0.54,9.1,5
0.65,2.3,3.03,0.57,9.9,5
0.76,4.2,3.22,0.6,13,7
0.02,7.9,3.47,0.53,9.9,5
0.59,2.6,3.18,0.65,11,6
0.59,2.6,3.18,0.65,11,6
0.22,2.3,3.1,0.55,9.4,5
0.02,7.9,3.47,0.53,9.9,5
0.3,1.7,3.29,0.47,10.8,6
0.54,2.6,3.1,0.61,10.5,6
0.49,2.7,3.15,0.63,10.5,6
0.05,2.7,3.26,0.61,9.1,5
0.46,1.4,3.36,0.76,10.1,6
0.47,2.5,3.24,0.65,10.8,6
0.66,3,3.18,0.63,10.8,7
0.58,3.7,3.19,0.7,11.3,6
0.49,4.5,3.05,0.57,9.6,4
0.34,2.5,3.38,0.62,9.5,6
0.35,2.4,3.38,0.62,9.5,5
0.16,1.9,3.27,0.64,9.3,5
0.53,6.7,3.27,0.82,11.7,7
0.34,2.7,3.26,0.61,9.5,5
0.24,6.6,3.32,1.07,9.3,5
0.64,2.2,3.26,0.66,11.7,6
0.12,1.9,3.44,0.48,10.5,5
0.51,2,3.24,0.76,10.4,6
0,1.8,3.62,0.68,9.9,5
0.33,2.4,3.28,0.73,11.8,7
0.03,2.3,3.52,0.56,12.3,7
0.2,2,3.36,0.44,10.9,5
0.47,2.1,3.15,0.9,11,7
0.2,2,3.36,0.44,10.9,5
0.03,2.3,3.52,0.56,12.3,7
0.08,2.1,3.49,0.49,11.4,6
0.22,1.9,3.26,0.56,10.6,6
0.33,1.3,3.24,0.6,9.3,5
0.63,2.4,3.1,0.6,10.4,6
0.47,2.1,3.15,0.9,11,7
0.35,2.2,3.25,0.56,9.2,5
0.69,2.3,3,0.65,12.8,6
0.63,2.3,3.16,0.49,9.5,5
0.55,3.2,3.15,0.89,9.9,6
0.63,2.3,3.16,0.49,9.5,5
0.3,2,3.26,0.56,10.2,6
0.73,3.2,3.17,0.66,11.2,6
0.55,3.2,3.15,0.89,9.9,6
0.18,1.5,3.08,0.6,9.3,5
0.72,2.2,2.88,0.82,9.8,8
0.65,2.15,3.06,0.68,11.3,6
0.76,3.7,2.95,0.68,11.2,7
0.49,2.7,3.23,0.63,11.6,7
0.01,1.7,3.57,0.84,12.5,7
0.1,2.1,3.23,0.56,10.1,6
0.6,2.6,3.1,0.73,10.5,5
0.29,2.1,3.22,0.72,11.2,5
0.22,2,3.2,0.56,10.2,6
0.69,2.8,3.1,0.61,10.8,6
0.69,2.8,3.1,0.61,10.8,6
0.53,1.8,3.06,1.06,9.1,6
0.03,1.7,3.44,0.63,10,6
0.63,2.8,3.26,0.74,11.2,7
0.4,1.6,3.5,0.63,11.1,5
0.67,5.2,3.22,0.69,13.4,8
0.39,2.3,3.37,0.58,10.3,5
0.21,2.7,3.28,0.58,9.6,5
0.63,2.8,3.26,0.74,11.2,7
0.66,2.2,3.25,0.57,9,3
0.52,2.3,3.35,0.61,11.3,6
0.22,2.6,3.26,0.61,9.3,5
0.68,2.55,3.18,0.61,11.8,5
0.7,2.2,3.08,0.53,9,5
0.54,2.1,2.98,0.7,9.2,6
0.4,2.9,3.48,0.91,9.7,5
0.42,2,3.16,0.72,11.5,6
0.45,2.6,3.32,0.79,14,6
0.69,2.1,3.17,0.62,9.2,6
0.02,1.2,3.2,0.58,9.8,5
0.65,2.6,3.05,0.61,10.6,5
0.42,2.4,3.2,0.71,11.4,6
0.55,2.6,3.15,0.82,10.4,6
0.55,2.1,3.26,0.79,10.6,5
0.51,1.7,3.2,0.89,9.4,6
0.24,2.2,3.14,0.6,10.2,5
0.41,2,3.28,0.7,9.7,5
0.49,1.8,3.18,1.06,11,6
0.24,2.2,3.14,0.6,10.2,5
0.11,2.7,3.19,0.7,10.1,6
0.39,15.5,3.12,0.66,9.2,5
0.56,2.8,3.15,0.92,11.7,8
0.59,2.2,3.04,1.05,9.4,5
0.6,2.2,3.04,1.06,9.4,5
0.68,4.1,3.06,0.66,13.4,6
0.39,1.9,3.17,0.47,10,5
0.39,1.9,3.17,0.47,10,5
0.36,1.8,3.17,0.42,10,6
0.55,2.8,3.32,0.92,10.8,7
0.4,2.6,3.34,0.75,10.2,6
0.27,2.8,3.31,0.67,10.6,6
0.5,2.5,3.34,0.79,13.3,7
0.51,2.6,3.32,0.9,13.4,7
0.31,3,3.48,0.74,11.6,6
0.23,8.3,3.44,0.55,12.1,6
0.53,2.6,3.15,0.65,11,8
0.25,1.9,3.43,0.65,9,6
0.32,2.5,3.32,0.79,11.1,5
0.53,2.6,3.15,0.65,11,8
0.31,3,3.48,0.74,11.6,6
0.25,1.9,3.43,0.65,9,6
0.73,6.55,3.17,0.85,12,7
0.73,6.55,3.17,0.85,12,7
0.47,1.9,3.18,1.04,10.9,7
0.42,1.8,3.21,1.05,10.8,7
0.63,2.9,3.16,0.78,12.5,7
0.46,1.8,3.25,1.02,10.8,7
0.55,2.3,3.17,0.71,9.5,6
0.31,2.2,3.18,0.63,10.2,6
0.75,2.8,3.04,0.68,11.4,7
0.49,4.6,3.02,0.61,9.5,5
0.31,2.2,3.18,0.63,10.2,6
0.48,2.1,3.03,0.81,9.7,6
0.64,2.4,3.09,0.66,11.8,7
0.64,2.4,3.09,0.66,11.8,7
0.49,6.1,3.31,1.14,9.3,5
0.49,4.3,3.25,0.74,11.9,6
0.49,2.1,3.16,0.63,8.4,3
0.49,2.8,3.22,0.68,11.7,6
0.49,2.5,3.36,0.78,11,5
0.49,2.7,3.42,0.9,10,6
0.49,2,3.48,0.64,9.1,5
0.49,2.3,3.38,0.99,9.8,5
0.49,2.5,3.22,0.55,9.4,5
0.49,2.4,3.23,0.64,9.5,5
0.24,2.8,3.24,0.67,9.9,5
0.49,2.5,3.36,0.78,11,5
0.49,2.5,3.39,0.77,11.4,6
0.49,2.6,3.34,0.75,8.7,6
0.24,2.4,3.09,0.57,9.4,5
0.24,2.1,3.41,0.87,10.3,6
0.49,2.7,3.16,0.61,10.3,5
0.49,2.7,3.16,0.61,10.3,5
0.24,2.1,3.22,0.66,12.8,6
0.24,2.7,3.28,0.56,10,6
0.24,2.1,3.41,0.87,10.3,6
0.24,2.4,3.09,0.57,9.4,5
0.24,2.1,3.37,0.77,10.7,6
0.49,5.8,3.2,0.66,12,7
0.74,5.15,3.22,0.62,11.2,5
0.24,3.3,3.26,0.67,9.6,5
0.49,6.3,3.21,0.73,11,6
0.24,2.1,3.12,0.59,9.9,5
0.24,2.5,3.06,0.72,11,6
0.74,1.8,2.86,0.79,8.4,6
0.49,2.6,3.08,0.59,9.1,5
0.24,2,3.45,0.78,9.5,6
0.49,2.5,3.26,0.86,10.7,6
0.49,2.6,3.12,0.75,10.4,6
0.49,1.9,3.27,0.61,9.4,6
0.01,2.1,3.33,0.56,9.5,6
0.24,2.8,3.19,0.73,10,6
0.24,2.7,3.12,0.74,10,6
0.24,1.6,3.74,0.62,11.5,5
0.49,4.2,2.92,0.74,11.1,5
0.49,4.2,2.92,0.74,11.1,5
0.49,4.6,3.07,0.56,11.7,6
0.49,4.2,2.92,0.74,11.1,5
0.49,4.6,3.07,0.56,11.7,6
0.49,4.3,3.3,0.68,12.7,6
0.49,2.8,3.14,0.57,11.4,5
0.49,2.4,3.23,0.58,9.2,5
0.49,2.9,3.08,0.61,9.2,5
0.49,2.7,3.31,0.61,10.1,6
0.49,4.3,3.3,0.68,12.7,6
0.49,2.8,3.14,0.57,11.4,5
0.24,2.5,3.32,0.6,9,6
0.24,2.5,3.32,0.6,9,6
0.49,2.6,3.31,0.79,10.7,6
0.24,2.2,3.57,0.57,11.7,6
0.49,3.3,3.32,0.91,11,6
0.24,2.2,3.57,0.57,11.7,6
0.49,2.4,3.14,0.61,10.4,5
0.49,2.1,3.3,0.56,9.6,4
0.49,3.2,3.19,0.7,10,6
0.49,3.1,3.2,0.8,10.2,6
0.24,2.3,3.34,0.52,10,4
0.49,2.8,3.3,0.6,9.5,5
0.49,2.9,3.29,0.6,9.8,5
0.49,2.2,3.14,0.51,9.8,6
0.49,2.2,3.19,0.44,9.6,5
0.49,2.2,3.19,0.44,9.6,5
0.49,2.2,3.19,0.43,9.2,5
0.49,1.9,2.98,0.66,9.9,7
0.49,3.4,3.3,0.76,10.7,7
0.24,2.4,3.47,0.66,9.6,6
0.49,2.7,3.12,1.02,10.6,7
0.24,1.9,3.26,0.59,9.3,5
0.24,2,3.72,0.74,14,8
0.49,2.6,3.05,0.74,10.5,7
0.49,2.6,3.35,0.57,9.7,5
0.49,1.7,3.12,0.5,11.5,6
0.49,2.6,3.35,0.57,9.7,5
0.58,3.5,3.29,0.58,9,5
0.17,2.6,3.4,0.53,9.5,5
0.41,7.9,3.27,0.57,9.3,5
0.51,2,3.04,0.6,9.3,6
0.58,1.9,3.09,0.63,10,6
0.18,2.1,3.2,0.48,9.8,6
0.45,2.3,3,0.7,9.3,6
0.27,2.1,3.26,0.47,10,4
0.52,2.2,3.1,0.56,9,6
0,2.6,3.3,0.52,9.3,5
0.52,2.2,3.1,0.56,9,6
0.13,2.9,3.17,0.62,9.1,6
0.13,2.6,3.31,0.59,9.2,6
0.48,4.6,3.34,0.79,12.2,7
0.41,3.3,3.31,0.53,10.5,6
0.37,5.1,3.32,0.64,10.4,6
0.19,3.2,3.56,0.52,12.7,6
0.54,2.5,3.39,0.54,9.2,5
0.55,2.7,2.98,0.54,9.4,5
0,2.4,3.32,0.6,10,6
0.38,1.5,3.26,0.74,9.8,5
0.18,2.2,2.87,1.36,10.2,6
0.5,2.3,3.5,0.57,9.7,5
0.5,2.3,3.5,0.57,9.7,5
0.51,2.2,3.03,0.93,9.8,6
0.5,2.7,3.13,0.7,10.2,5
0.41,2.3,3.09,0.8,9.3,5
0.24,3.4,3.27,0.61,9.4,5
0.23,3.4,3.28,0.62,9.4,5
0.22,1.9,3.13,0.55,9.5,5
0.25,2.9,3.49,0.96,12.1,6
0,5.6,3.46,0.72,10.2,5
0,5.6,3.46,0.72,10.2,5
0.29,2.2,3.36,0.49,9.1,5
0.29,2.2,3.36,0.49,9.1,5
0.26,2.5,3.27,0.6,9.3,6
0.23,2.3,3.21,0.61,9.3,5
0.26,2.5,3.27,0.6,9.3,6
0.54,2.7,3.25,0.63,9.5,5
0.14,3,3.32,0.57,10.5,6
0.22,3.4,3.43,0.64,11.3,4
0.21,1.9,3.27,0.58,9.5,5
0,1.4,3.27,0.55,9.7,5
0.28,2.4,3.24,0.53,9.4,5
0.27,2.3,3.24,0.53,9.4,5
0.12,2.2,3.35,0.65,10.2,7
0.35,1.9,3.18,1.36,10.3,6
0.45,2.3,3.39,0.62,9.4,5
0.44,2.3,3.46,0.63,9.5,5
0.45,2.3,3.39,0.62,9.4,5
0.44,2.3,3.46,0.63,9.5,5
0.45,2.3,3.39,0.62,9.4,5
0.1,6,3.37,0.69,10.1,7
0.05,3.6,3.4,0.63,10.1,5
0.01,2.2,3.32,0.58,11,4
0.3,2.8,3.33,0.67,11.2,7
0.27,8.6,3.16,0.57,11.3,6
0.39,2.2,2.89,0.5,9.6,5
0.25,2.5,3.41,0.67,11.2,5
0.65,7.5,2.98,0.84,14.9,5
